id,rank,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9,rot10,rot11,notes
1,,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PEDS Chi Truong Emanate Health West Covina ,SELEC - - ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,SELEC - - ,EM M. Agron Methodist Hospital of Southern California Arcadia ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,PC II URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,PC III URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,"INT MED Ricardo Saca Ricardo Saca, MD Chino ",PC I FP/COMM PSY Luis Rivera Tustin Irvine Medical Group Irvine GOOD,surgery during XMAS
2,,FP/COMM PSY Howard Fishbein Family Care Centers Medical Group Inc Irvine GOOD,SELEC - - ,"SURG Simon B. Rayhanabad, MD & Vascular and General Surgery Associates Los Alamitos GOOD",PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,"PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",SELEC - - ,PC II FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona ,EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,PC III URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,"INT MED Ricardo Saca Ricardo Saca, MD Chino ",
3,,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",PEDS Chi Truong Emanate Health West Covina ,SURG Anthony Oh Emanate Health West Covina ,PC I FP/COMM PSY Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,"INT MED David  Zarian David Zarian, MD Encino ",EM Kevin Hua Emanate Health West Covina ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SELEC - - ,PC III FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,surg Nov. locations: LA & west Cov/Chino
4,,PC I INT MED Jenny  Espinoza-Marcus CDCR Department of Corrections Norco ,INT MED Kwan  Tan R Joshua Medical Cerritos GOOD,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,EM Kevin Hua Emanate Health West Covina ,"SURG Simon B. Rayhanabad, MD & - Los Alamitos GOOD",SELEC - - ,PC II URGENT CARE Brian  Buder Concentra/US HealthWorks-East Edinger Santa  Ana ,"PC III INT MED Viney Soni R Viney Soni, MD Fountain Valley ","PEDS Harsha Sheth R Harsha P Sheth, MD, Inc Chino ",FP/COMM PSY John Alevizos Edinger Urgent Care Santa Ana ,NO--norco
5,,INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SURG Robinson Baron Emanate Health West Covina ,"PC I FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,EM Kevin Hua Emanate Health West Covina ,SELEC - - ,OB/GYN Marlon Brooks Brooks Women's Center Granada Hills ,PC III URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,PEDS Chi Truong Emanate Health West Covina ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,Con: Granada Hills
6,,FP/COMM PSY Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SURG Robinson Baron Emanate Health West Covina ,PC I FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,EM Kevin Hua Emanate Health West Covina ,PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,SELEC - - ,PEDS Chi Truong Emanate Health West Covina ,"PC III FP/COMM PSY Behzad Souferzackh R Behzad Soufer, DO, APC Sherman Oaks ",surg in Nov/ LA and West Covina
7,,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,INT MED James Stewart Stewart Medical Group Alhambra ,SELEC - - ,PEDS Chi Truong Emanate Health West Covina ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC III INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,SURG Raffaele Corbisiero Emanate Health West Covina ,PC II URGENT CARE Atul Bembi West Point Medical Clinic Fontana ,
8,,SELEC - - ,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,SURG Raffaele Corbisiero Emanate Health West Covina ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",PEDS Chi Truong Emanate Health West Covina ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,PC I FP/COMM PSY Sharnjeet  Dosanjh Clinica Medical General Los Angeles ,OB/GYN K Kevin Daneshgar Century Women Medical Group Inc. Los Angeles ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",SELEC - - ,PC III URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,"location: LA, glendale, west covina"
9,,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,EM Frank Figueroa Glendale Adventist Medical Center Glendale ,SELEC - - ,INT MED Gerald Ho Arthritis Center Alhambra ,PC III URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,SELEC - - ,PC II URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,CON: Apple Valley
10,,"INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,SURG Anthony Oh Emanate Health West Covina ,OB/GYN Reza Ahmadinia - Apple Valley ,PEDS Reza Ahmadinia - Apple Valley ,EM Naomi Bjornstad St. Bernadine Medical Center San Bernardino ,PC I FP/COMM PSY Wendy Rashidi Women's View Medical Group Upland ,SELEC - - ,"PC III URGENT CARE Walter Jones, III Redlands Yucaipa Medical Group Redlands ",SELEC - - ,PC II INT MED Gerald Ho Arthritis Center Alhambra ,CON: Redlands
